"","Transect","PastureID","Fire","Graze","PUTR2","none","AF","PG","PF","ARTR4","TECA2","AG","CHVI","CHVI8","SD","M"
"1",5,"1B","Burn","Spring",2,4,5,14,0,0,0,0,0,0,0,0
"2",4,"1B","Burn","Spring",0,7,2,7,1,7,1,0,0,0,0,0
"3",3,"1B","Burn","Spring",0,10,1,10,1,0,0,3,0,0,0,0
"4",2,"1B","Burn","Spring",0,9,4,8,0,0,0,4,0,0,0,0
"5",1,"1B","Burn","Spring",2,12,2,7,0,0,0,2,0,0,0,0
"6",1,"1A","NoBurn","Fall",0,4,2,14,2,3,0,0,0,0,0,0
"7",2,"1A","NoBurn","Fall",0,7,1,5,8,3,0,1,0,0,0,0
"8",3,"1A","NoBurn","Fall",0,12,2,6,1,1,0,2,1,0,0,0
"9",4,"1A","NoBurn","Fall",0,4,2,13,2,0,0,4,0,0,0,0
"10",5,"1A","NoBurn","Fall",0,7,1,10,4,0,1,2,0,0,0,0
"11",5,"2B","Burn","Fall",0,4,0,15,2,1,0,3,0,0,0,0
"12",4,"2B","Burn","Fall",0,4,2,9,6,3,1,0,0,0,0,0
"13",1,"2B","Burn","Fall",0,10,1,6,5,1,0,2,0,0,0,0
"14",2,"2B","Burn","Fall",0,4,2,10,5,0,0,3,0,1,0,0
"15",3,"2B","Burn","Fall",0,5,2,7,6,1,0,3,0,1,0,0
"16",1,"EX-2B","Burn","NoGraze",0,3,1,11,2,0,1,3,0,4,0,0
"17",2,"EX-2B","Burn","NoGraze",0,6,2,4,4,2,1,4,0,2,0,0
"18",3,"EX-2B","Burn","NoGraze",2,3,4,4,2,4,5,0,0,1,0,0
"19",3,"EX-1B","Burn","NoGraze",0,1,2,8,3,1,0,7,0,1,2,0
"20",5,"EX-1B","Burn","NoGraze",0,3,0,10,5,0,0,4,0,0,3,0
"21",1,"2A","NoBurn","Spring",3,6,0,1,2,7,0,6,0,0,0,0
"22",2,"2A","NoBurn","Spring",2,5,5,3,0,9,0,1,0,0,0,0
"23",3,"2A","NoBurn","Spring",0,10,2,1,1,5,0,2,0,0,0,4
"24",4,"2A","NoBurn","Spring",0,7,6,1,1,5,0,4,0,1,0,0
"25",5,"2A","NoBurn","Spring",1,11,0,2,2,6,0,3,0,0,0,0
"26",1,"EX1A2A","NoBurn","NoGraze",0,5,0,3,4,9,0,2,0,2,0,0
"27",2,"EX1A2A","NoBurn","NoGraze",1,6,2,7,5,2,0,2,0,0,0,0
"28",3,"EX1A2A","NoBurn","NoGraze",0,6,0,3,6,7,1,1,0,1,0,0
"29",4,"EX1A2A","NoBurn","NoGraze",3,10,1,2,3,5,0,1,0,0,0,0
"30",5,"EX1A2A","NoBurn","NoGraze",5,5,1,3,2,7,0,2,0,0,0,0
